cabang,nobukti,det_id,produk_id,produk_kode_api,produk_nama_api,produk_kode_db,produk_nama_db,afkir,qty_beli,qty_diterima,subtotal_rp,subtotal_net_rp,status,catatan
5,KRT/PB/2604-0238,11916,249,PS101,"WATERMUR 3/4""",PS101,"WATERMUR 3/4""",,290.0,290.0,949460.0,949460.0,OK,
5,KRT/PB/2604-0145,11917,2637,BN041,BAN LUAR L300,BN041,BAN LUAR L300,,39.0,39.0,23647728.0,23647728.0,OK,
5,KRT/PB/2604-0145,11918,11756,BN083,BAN DALAM GT 7.50 R16 TR177A,BN083,BAN DALAM GT 7.50 R16 TR177A,,40.0,40.0,7513560.0,7513560.0,OK,
5,KRT/PB/2604-0145,11919,11757,BN084,BAN DALAM GT 6.00/6.40/6.50/7.00 R14,BN084,BAN DALAM GT 6.00/6.40/6.50/7.00 R14,,25.0,25.0,3079950.0,3079950.0,OK,
5,KRT/PB/2604-0146,11920,1540,BN002,BAN LUAR IRC 80/90-14,BN002,BAN LUAR IRC 80/90-14,,55.0,55.0,8174815.0,8174815.0,OK,
5,KRT/PB/2604-0146,11921,1557,BN019,BAN LUAR TUBLES IRC 90/90-14,BN019,BAN LUAR TUBLES IRC 90/90-14,,44.0,44.0,9356952.0,9356952.0,OK,
5,KRT/PB/2604-0146,11922,1558,BN020,BAN LUAR TUBLES IRC 80/90-14,BN020,BAN LUAR TUBLES IRC 80/90-14,,44.0,44.0,8417948.0,8417948.0,OK,
5,KRT/PB/2604-0146,11923,11758,BN085,BAN LUAR TUBLES IRC 110/70-13 ECOTRAX NR96,BN085,BAN LUAR TUBLES IRC 110/70-13 ECOTRAX NR96,,11.0,11.0,2691392.0,2691392.0,OK,
5,KRT/PB/2604-0147,11924,11759,BN086,GT RADIAL 215/60 R17 CHAMPIRO ECOTEC,BN086,GT RADIAL 215/60 R17 CHAMPIRO ECOTEC,,12.0,12.0,9903156.0,9903156.0,OK,
5,KRT/PB/2604-0147,11925,11760,BN087,GT RADIAL 235/60 R16 CHAMPIRO GTX PRO,BN087,GT RADIAL 235/60 R16 CHAMPIRO GTX PRO,,12.0,12.0,11698896.0,11698896.0,OK,
5,KRT/PB/2604-0147,11926,11759,BN086,GT RADIAL 215/60 R17 CHAMPIRO ECOTEC,BN086,GT RADIAL 215/60 R17 CHAMPIRO ECOTEC,,1.0,1.0,893060.0,893060.0,OK,
5,KRT/PB/2604-0190,11927,8519,SV028,"SIKU TUKANG+ WATER PAS 12""",SV028,"SIKU TUKANG+ WATER PAS 12""",,60.0,60.0,1350000.0,1350000.0,OK,
